x, y
309.5560617130087, 0.2099135877194112
320.3601358029997, 2.369576695728323
329.89556921225665, 6.342803054693436
339.5960290515278, 13.504655445519054
349.8792384717865, 20.517443432795456
360.43061584081823, 24.15841392898997
370.3218874897933, 27.395332964160154
379.88310627873994, 30.310620597287866
390.047702952426, 33.36788966014604
400.11431518329107, 35.342429588801174
410.4594095148051, 36.571003592999446
420.45897975847697, 37.723274651968424
430.3296231037002, 38.675934630590724
440.2569942842408, 39.35203667692625
450.045124414457, 39.892596360639274
460.2664489234604, 40.114744175863805
469.6316988267652, 39.97533837297652
480.18307619579696, 39.676243705811906
490.33220164166914, 39.20458204015402
501.01766298508744, 38.63923194807536
510.9811336971937, 37.76384077474856
520.8259916627272, 36.75516091228703
529.8457174781898, 35.6717878713732
540.5363358975461, 34.263885848218315
551.0464566590744, 32.845359364335295
560.4581202458206, 31.563341103140978
569.9368258197602, 30.42201645825553
580.2561347715846, 29.045665863929635
590.9415961150028, 27.523470399608506
600.2294898792385, 26.38021403459067
609.6308393141089, 25.358012131202432
620.0223473290644, 24.16292127596554
631.1874167347114, 22.452705052092053
640.4907817267609, 20.962382969955314
650.6811637801367, 19.96529342828811
660.3094245562766, 18.945989105098455
670.0923976105548, 17.90994320742811
680.3188791954962, 17.00718599889248
690.6124027676308, 16.007520830382095
700.5604022519232, 15.116031989285393
710.7404701534231, 14.383588105755239
720.7606687008466, 13.616373259842115
730.7602389445185, 12.69365494327182
741.8273239073445, 11.959923246320074
750.4808973312132, 11.293157847291084
760.4443680433194, 10.60449962009504
769.9333877691349, 9.961236816010096
780.2939533284627, 9.343730280356983
790.4843353818385, 8.714955377264943
800.8552150930423, 8.099058608388818
810.7413296660793, 7.574274639090289
820.4675748850402, 7.01182212721021
830.6888993940436, 6.524384747137835
840.5595427392668, 6.101338038145034
850.6725686535734, 5.613256751361863
859.5891529502773, 5.1731465145329745
870.960505393442, 4.6840993676836105
880.7176930680305, 4.281335720080875
890.9183892732821, 3.83317664936704
900.8818599853882, 3.3657003773293326
